

Date	        Open	        High	        Low	        Close*	       Adj Close**	Volume
Mar 07, 2011	1,322.72	1,327.68	1,291.99	1,304.28	1,304.28	20,669,090,000
Feb 28, 2011	1,321.61	1,332.28	1,302.58	1,321.15	1,321.15	12,022,480,000
Feb 21, 2011	1,338.91	1,338.91	1,294.26	1,319.88	1,319.88	7,712,050,000
Feb 14, 2011	1,328.73	1,344.07	1,324.61	1,343.01	1,343.01	12,589,110,000
Feb 07, 2011	1,311.85	1,330.79	1,311.74	1,329.15	1,329.15	20,109,950,000
Jan 31, 2011	1,276.50	1,311.00	1,276.50	1,310.87	1,310.87	21,726,860,000
Jan 24, 2011	1,283.29	1,302.67	1,275.10	1,276.34	1,276.34	23,156,650,000
Jan 17, 2011	1,293.22	1,296.06	1,271.26	1,283.35	1,283.35	19,899,340,000
Jan 10, 2011	1,270.84	1,293.24	1,262.18	1,293.24	1,293.24	21,286,570,000
Jan 03, 2011	1,257.62	1,278.17	1,257.62	1,271.50	1,271.50	23,655,220,000
Dec 27, 2010	1,254.66	1,262.60	1,251.48	1,257.64	1,257.64	10,455,790,000
Dec 20, 2010	1,245.76	1,259.39	1,241.51	1,256.77	1,256.77	10,828,420,000
Dec 13, 2010	1,242.52	1,246.73	1,232.85	1,243.91	1,243.91	22,270,220,000
Dec 06, 2010	1,223.87	1,240.40	1,219.50	1,240.40	1,240.40	24,175,410,000
Nov 29, 2010	1,189.08	1,225.57	1,173.64	1,224.71	1,224.71	21,212,840,000
Nov 22, 2010	1,198.07	1,198.94	1,176.91	1,189.40	1,189.40	12,820,640,000
Nov 15, 2010	1,200.44	1,207.43	1,173.00	1,199.73	1,199.73	20,887,180,000
Nov 08, 2010	1,223.24	1,226.84	1,194.08	1,199.21	1,199.21	21,491,310,000
Oct 31, 2010	1,185.71	1,227.08	1,177.65	1,225.85	1,225.85	23,993,790,000
Oct 24, 2010	1,184.74	1,196.14	1,171.70	1,183.26	1,183.26	20,582,070,000
Oct 17, 2010	1,176.83	1,189.43	1,159.71	1,183.08	1,183.08	22,881,410,000
Oct 10, 2010	1,165.32	1,184.38	1,155.71	1,176.19	1,176.19	22,245,800,000
Oct 03, 2010	1,144.96	1,167.73	1,131.87	1,165.15	1,165.15	19,528,080,000
Sep 26, 2010	1,148.64	1,157.16	1,132.09	1,146.24	1,146.24	20,187,050,000
Sep 19, 2010	1,126.57	1,148.90	1,122.79	1,148.67	1,148.67	19,422,610,000
Sep 12, 2010	1,113.38	1,131.47	1,113.38	1,125.59	1,125.59	19,862,160,000
Sep 05, 2010	1,102.60	1,110.88	1,091.15	1,109.55	1,109.55	12,780,950,000
Aug 29, 2010	1,062.90	1,105.10	1,040.88	1,104.51	1,104.51	18,592,350,000
Aug 22, 2010	1,073.36	1,081.58	1,039.70	1,064.59	1,064.59	19,756,640,000
