Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,144.149994,146.419998,139.000000,140.929993,105.118530,1494548900
2007-03-01,139.339996,143.809998,136.750000,142.000000,105.916664,2918304400
2007-04-01,142.160004,149.800003,141.479996,148.289993,111.047005,1791289900
2007-05-01,148.419998,153.889999,147.669998,153.320007,114.813774,2508178000
2007-06-01,153.880005,154.399994,148.059998,150.429993,112.649551,3502885400
2007-07-01,150.869995,155.529999,145.039993,145.720001,109.592773,3988676200
2007-08-01,145.179993,150.589996,137.000000,147.589996,110.999207,6195918600
2007-09-01,147.449997,154.389999,144.330002,152.580002,114.752090,2967009200
2007-10-01,152.600006,157.520004,148.660004,154.649994,116.860596,3850069600
2007-11-01,153.289993,153.410004,140.660004,148.660004,112.334320,5472709900
2007-12-01,148.190002,152.889999,143.960007,146.210007,110.482956,3293787500
2008-01-01,146.529999,146.990005,126.000000,137.369995,104.353973,6106834300
2008-02-01,137.940002,139.610001,131.729996,133.820007,101.657188,4151028600
2008-03-01,133.139999,135.809998,126.070000,131.970001,100.251846,5462121800
2008-04-01,133.610001,140.589996,132.330002,138.259995,105.550018,4014652600
2008-05-01,138.380005,144.300003,137.520004,140.350006,107.145561,3646997000
2008-06-01,139.830002,140.889999,127.040001,127.980003,97.702133,5408930000
2008-07-01,126.519997,129.160004,120.019997,126.830002,97.308479,7156206800
2008-08-01,127.120003,131.509995,124.760002,128.789993,98.812263,4344355500
2008-09-01,130.029999,130.710007,110.529999,115.989998,88.991653,8105188900
2008-10-01,115.269997,116.690002,83.580002,96.830002,74.721436,11882352200
2008-11-01,96.779999,100.860001,74.339996,90.089996,69.520332,8762237000
2008-12-01,87.510002,92.430000,81.860001,90.239998,69.636078,6919927700
2009-01-01,90.440002,94.449997,80.050003,82.830002,64.436829,6872039400
2009-02-01,81.570000,87.739998,73.809998,73.930000,57.513149,7275092500
2009-03-01,72.519997,83.300003,67.099998,79.519997,61.861832,8813959700
2009-04-01,78.529999,89.019997,78.330002,87.419998,68.494354,6023006600
2009-05-01,87.440002,93.699997,86.720001,92.529999,72.498093,5195735600
2009-06-01,93.669998,96.110001,88.849998,91.949997,72.043625,5054855000
2009-07-01,92.339996,99.830002,87.000000,98.809998,77.855850,4295844600
2009-08-01,99.849998,104.349998,98.110001,102.459999,80.731773,3957574800
2009-09-01,101.949997,108.059998,99.570000,105.589996,83.198036,3777956700
2009-10-01,103.000000,110.309998,101.989998,103.559998,81.987198,4481700800
2009-11-01,104.129997,111.739998,103.080002,109.940002,87.038170,3430866200
2009-12-01,110.919998,113.029999,109.019997,111.440002,88.225700,2883885800
2010-01-01,112.370003,115.139999,107.220001,107.389999,85.477081,3706842300
2010-02-01,108.150002,111.580002,104.580002,110.739998,88.143501,4451912400
2010-03-01,111.199997,118.169998,111.169998,117.000000,93.126167,3899688500
2010-04-01,117.800003,122.120003,117.099998,118.809998,94.956245,3887089700
2010-05-01,119.379997,120.680000,104.379997,109.370003,87.411552,7413878800
2010-06-01,108.349998,113.199997,102.879997,103.220001,82.496323,5706059600
2010-07-01,103.150002,112.290001,101.129997,110.269997,88.550156,4725402000
2010-08-01,111.989998,113.180000,104.290001,105.309998,84.567108,4541971600
2010-09-01,106.730003,115.790001,106.660004,114.129997,91.649841,4035642500
2010-10-01,114.989998,119.760002,113.180000,118.489998,95.660461,3767490800
2010-11-01,119.070000,122.949997,117.589996,118.489998,95.660461,3983708900
2010-12-01,120.199997,126.199997,120.190002,125.750000,101.521660,2722749900
2011-01-01,126.709999,130.350006,125.699997,128.679993,104.433472,2860314700
2011-02-01,129.460007,134.690002,129.380005,133.149994,108.061264,2820073500
2011-03-01,133.570007,133.690002,125.279999,132.589996,107.606743,4787459400
2011-04-01,133.410004,136.570007,129.509995,136.429993,111.204208,2812718500
2011-05-01,137.070007,137.179993,131.380005,134.899994,109.957108,3337607300
2011-06-01,134.509995,134.919998,126.190002,131.970001,107.568848,4710433400
2011-07-01,132.089996,135.699997,127.970001,129.330002,105.939606,3840768000
2011-08-01,130.839996,130.960007,110.269997,122.220001,100.115501,9050451800
2011-09-01,122.290001,123.400002,111.300003,113.150002,92.685921,6188283200
2011-10-01,112.489998,129.419998,107.430000,125.500000,103.334167,5721102000
2011-11-01,122.029999,128.020004,116.199997,124.989998,102.914207,5013586000
2011-12-01,124.849998,127.260002,120.029999,125.500000,103.334167,3848636100
2012-01-01,127.760002,133.399994,126.430000,131.320007,108.812004,2883821400
